citing_id,cited_id
2019-0035,1987-0002
2019-0036,1943-0000
2019-0036,1987-0008
2019-0036,1993-0009
2019-0036,2000-0012
2019-0036,2005-0011
2019-0036,2007-0016
2019-0036,2009-0012
2019-0036,2009-0083
2019-0036,2010-0005
2019-0036,2013-0004
2019-0036,2017-0138
2019-0036,2018-0022
2019-0036,2019-0498
2019-0036,2019-0505
2019-0037,2017-0214
2019-0037,2017-0215
2019-0037,2019-0086
2020-0000,2011-0167
2020-0000,2014-0203
2020-0000,2015-0184
2020-0000,2015-0268
2020-0000,2016-0349
2020-0000,2017-0074
2020-0000,2017-0181
2020-0000,2017-0288
2020-0000,2018-0054
2020-0000,2018-0172
2020-0000,2018-0475
2020-0000,2019-0042
2020-0000,2019-0055
2020-0000,2019-0107
2020-0000,2019-0147
2020-0000,2019-0208
2020-0000,2019-0234
2020-0000,2019-0247
2020-0000,2019-0373
2020-0001,2010-0127
2020-0001,2014-0154
2020-0001,2015-0174
2020-0001,2016-0050
2020-0001,2016-0085
2020-0001,2016-0120
2020-0001,2016-0170
2020-0001,2016-0207
2020-0001,2017-0038
2020-0001,2017-0138
2020-0001,2017-0214
2020-0001,2017-0230
2020-0001,2017-0246
2020-0001,2018-0020
2020-0001,2018-0022
2020-0001,2018-0104
2020-0001,2018-0134
2020-0001,2018-0213
2020-0001,2018-0435
2020-0001,2018-0447
2020-0001,2018-0506
2020-0001,2018-0509
2020-0001,2018-0551
2020-0001,2019-0042
2020-0001,2019-0058
2020-0001,2019-0366
